frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim
frame490__s176246,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s176246_rank490.jpg,processed_rep67__cam6_s176246_rank490.jpg,FALSE,rep67,cam6,176246,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame491__s176606,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s176606_rank491.jpg,processed_rep67__cam6_s176606_rank491.jpg,FALSE,rep67,cam6,176606,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame492__s176967,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s176967_rank492.jpg,processed_rep67__cam6_s176967_rank492.jpg,FALSE,rep67,cam6,176967,492,0.9017307162284852,139.60311889648438,589.2879638671875,0.02783799171447754,151.97813415527344,581.942626953125,0.00994315929710865,139.60311889648438,589.2879638671875,0.02904389426112175,578.0117035110533,146.74122236671002,769,1000,1000
frame493__s177327,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s177327_rank493.jpg,processed_rep67__cam6_s177327_rank493.jpg,FALSE,rep67,cam6,177327,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame494__s177687,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s177687_rank494.jpg,processed_rep67__cam6_s177687_rank494.jpg,FALSE,rep67,cam6,177687,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame495__s178048,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s178048_rank495.jpg,processed_rep67__cam6_s178048_rank495.jpg,FALSE,rep67,cam6,178048,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame496__s178408,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s178408_rank496.jpg,processed_rep67__cam6_s178408_rank496.jpg,FALSE,rep67,cam6,178408,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame497__s178769,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s178769_rank497.jpg,processed_rep67__cam6_s178769_rank497.jpg,FALSE,rep67,cam6,178769,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame498__s179129,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s179129_rank498.jpg,processed_rep67__cam6_s179129_rank498.jpg,FALSE,rep67,cam6,179129,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame499__s179489,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s179489_rank499.jpg,processed_rep67__cam6_s179489_rank499.jpg,FALSE,rep67,cam6,179489,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame500__s179850,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s179850_rank500.jpg,processed_rep67__cam6_s179850_rank500.jpg,FALSE,rep67,cam6,179850,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame501__s180210,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s180210_rank501.jpg,processed_rep67__cam6_s180210_rank501.jpg,FALSE,rep67,cam6,180210,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame502__s180571,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s180571_rank502.jpg,processed_rep67__cam6_s180571_rank502.jpg,FALSE,rep67,cam6,180571,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame503__s180931,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s180931_rank503.jpg,processed_rep67__cam6_s180931_rank503.jpg,FALSE,rep67,cam6,180931,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame504__s181291,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s181291_rank504.jpg,processed_rep67__cam6_s181291_rank504.jpg,FALSE,rep67,cam6,181291,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame505__s181652,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s181652_rank505.jpg,processed_rep67__cam6_s181652_rank505.jpg,FALSE,rep67,cam6,181652,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
